,id,listed_on
257,24099364,2023-10-30
258,24346276,2023-11-12
259,23471627,2023-11-08
260,24475454,2023-11-13
261,21627481,2023-11-11
262,24395938,2023-10-30
263,24713585,2023-11-13
264,24705902,2023-11-17
265,24650513,2023-11-13
266,24655711,2023-10-31
267,24737961,2023-11-15
268,24774553,2023-11-09
269,24222280,2023-11-03
270,24789070,2023-11-13
271,24737424,2023-11-16
272,23437568,2023-10-28
273,24786106,2023-11-12
274,24469158,2023-11-11
275,24810250,2023-11-12
276,24731636,2023-11-16
277,23845702,2023-11-08
278,24707495,2023-11-13
279,24257154,2023-11-07
280,24782112,2023-10-28
281,24796444,2023-11-15
282,24667733,2023-11-02
283,24420951,2023-11-16
284,24788138,2023-11-15
285,23167089,2023-10-31
286,24739271,2023-10-31
287,24733369,2023-11-16
288,24685653,2023-10-17
289,24768507,2023-11-16
290,23939624,2023-11-08
291,24775335,2023-10-24
292,24758261,2023-11-16
293,24375721,2023-11-10
294,24240131,2023-11-03
295,24427105,2023-10-17
296,24796075,2023-11-11
297,23966418,2023-11-08
298,24755404,2023-11-12
299,24474926,2023-11-03
300,24043538,2023-10-31
301,24714470,2023-10-28
302,24811549,2023-11-13
303,24699830,2023-10-31
304,24698688,2023-11-16
305,24508271,2023-10-28
306,24672602,2023-11-13
307,24257637,2023-10-24
308,24807425,2023-11-17
309,24149152,2023-11-12
310,23714928,2023-11-12
311,24314025,2023-11-11
312,24194751,2023-11-17
313,24788381,2023-11-17
314,21808991,2023-11-03
315,24480967,2023-10-31
316,24665186,2023-10-30
317,24787577,2023-10-31
318,24762034,2023-10-17
319,24514028,2023-10-30
320,23582827,2023-11-07
321,24651675,2023-11-12
322,24729419,2023-11-13
323,23910008,2023-11-15
324,24670939,2023-11-14
325,24773124,2023-11-16
326,24418595,2023-11-13
327,24773061,2023-11-03
328,24785861,2023-11-15
329,24789842,2023-11-12
330,24743654,2023-11-12
331,24510044,2023-11-12
332,24408995,2023-11-03
333,24667356,2023-11-02
334,24405831,2023-11-03
335,23411711,2023-11-08
336,23921893,2023-11-08
337,24540532,2023-10-17
338,24785089,2023-10-30
339,24624919,2023-11-17
340,24668332,2023-11-15
341,24794030,2023-11-03
342,20182138,2023-11-13
343,24385736,2023-11-12
344,24490564,2023-10-17
345,24814573,2023-11-14
346,24451651,2023-10-31
347,24671200,2023-11-07
348,24462259,2023-11-15
349,24683481,2023-10-31
350,24283200,2023-11-13
351,24560043,2023-11-16
352,24664239,2023-11-12
353,24808566,2023-11-11
354,24476902,2023-11-07
355,24144885,2023-10-17
356,24794051,2023-11-03
357,24677570,2023-10-30
358,24361901,2023-11-11
359,24570599,2023-11-16
360,24044460,2023-11-16
361,24395203,2023-11-16
362,23880508,2023-11-13
363,24765843,2023-11-17
364,24559318,2023-10-31
365,24712991,2023-11-14
366,24465050,2023-11-03
367,24720337,2023-10-30
368,24766557,2023-11-13
369,24806581,2023-11-16
370,24707101,2023-11-16
371,24793917,2023-11-16
372,24802254,2023-11-13
373,23867471,2023-11-13
374,24475007,2023-11-15
375,24717879,2023-10-28
376,24453772,2023-10-24
377,24768162,2023-11-17
378,24811546,2023-11-13
379,24268252,2023-11-07
380,23981329,2023-10-30
381,24381057,2023-11-10
382,24450670,2023-11-12
383,24405796,2023-11-03
384,24222283,2023-11-03
385,24451098,2023-11-08
386,19755861,2023-11-12
387,24737470,2023-10-31
388,23757542,2023-11-11
389,24508268,2023-10-28
390,24811550,2023-11-13
391,24800711,2023-11-07
392,24714891,2023-11-16
393,24576030,2023-10-28
394,24782393,2023-11-13
395,24514925,2023-11-08
396,24788264,2023-10-31
397,24711113,2023-11-13
398,24637178,2023-10-17
399,24653686,2023-11-12
400,24363045,2023-11-09
401,24405851,2023-11-03
402,24652701,2023-11-14
403,24633592,2023-10-30
404,24737349,2023-11-16
405,24614931,2023-11-17
406,24746820,2023-11-08
407,24457788,2023-11-09
408,24807755,2023-11-10
409,23638592,2023-10-28
410,24794046,2023-11-03
411,23973478,2023-11-08
412,24649527,2023-11-15
413,23395120,2023-10-30
414,24508087,2023-11-12
415,24185861,2023-11-08
416,24812202,2023-11-13
417,24488067,2023-11-17
418,24632194,2023-11-15
419,24804913,2023-11-17
420,24603333,2023-10-31
421,22582205,2023-11-16
422,24808475,2023-11-17
423,24567031,2023-10-17
424,24817780,2023-11-16
425,24489267,2023-10-30
426,24479930,2023-11-15
427,24691560,2023-10-30
428,24664865,2023-11-17
429,24796651,2023-11-17
430,21806542,2023-11-08
431,24189966,2023-11-15
432,24399702,2023-11-13
433,24754915,2023-11-09
434,24731815,2023-11-16
435,24732628,2023-10-30
436,24689259,2023-11-15
437,24435784,2023-10-31
438,24561311,2023-11-07
439,24275569,2023-11-13
440,24422554,2023-11-02
441,24566968,2023-11-07
442,24798546,2023-11-16
443,23717740,2023-10-24
444,23801147,2023-10-30
445,24497218,2023-11-14
446,21758126,2023-10-28
447,24403819,2023-11-03
448,24796098,2023-11-11
449,24405830,2023-11-03
450,24744240,2023-11-14
451,24554462,2023-10-30
452,24009338,2023-11-11
453,24742101,2023-11-13
454,24664428,2023-10-31
455,24243973,2023-10-17
456,24642664,2023-11-11
457,24810858,2023-11-12
458,24536209,2023-11-16
459,21967153,2023-10-28
460,24722891,2023-11-16
461,24771778,2023-11-09
462,24430688,2023-11-12
463,24478625,2023-11-15
464,24292525,2023-11-12
465,24804001,2023-11-08
466,24766140,2023-10-30
467,24816196,2023-11-15
468,24568639,2023-10-30
469,24758507,2023-11-12
470,24645057,2023-11-08
471,24642511,2023-11-16
472,21269444,2023-10-17
473,24811645,2023-11-13
474,24791994,2023-11-17
475,24818171,2023-11-16
476,24199812,2023-11-11
477,24406344,2023-11-14
478,24773568,2023-10-30
479,24491754,2023-11-12
480,24668046,2023-11-15
481,24085529,2023-11-17
482,24474647,2023-11-12
483,24766414,2023-11-12
484,24529362,2023-11-07
485,24526644,2023-10-30
486,24807545,2023-11-10
487,23730253,2023-11-13
488,24571160,2023-11-15
489,24267230,2023-10-17
490,24636282,2023-10-30
491,24058994,2023-11-15
492,24405790,2023-11-03
493,24691377,2023-10-30
494,24796103,2023-11-11
495,21995608,2023-11-10
496,23468086,2023-11-13
497,20119393,2023-11-11
498,24766750,2023-11-16
499,24655775,2023-10-31
500,24792863,2023-11-02
501,23420288,2023-10-30
502,21691946,2023-11-08
503,24361399,2023-11-03
504,24534726,2023-11-14
505,23665665,2023-11-16
506,24751268,2023-11-08
507,24746954,2023-11-13
508,24685601,2023-11-14
509,24811599,2023-11-13
510,24459573,2023-10-30
511,24660180,2023-10-31
512,24186084,2023-11-12
513,24272696,2023-11-07
514,24775326,2023-10-24
515,24669964,2023-11-16
516,24276006,2023-11-17
517,24788255,2023-11-09
518,24637688,2023-11-15
519,24501868,2023-11-13
520,24734684,2023-11-13
521,24284668,2023-10-30
522,24775371,2023-10-24
523,24729409,2023-11-13
524,24813336,2023-11-14
525,24794036,2023-11-03
526,24788150,2023-10-31
527,24810561,2023-11-12
528,24674854,2023-11-13
529,24575713,2023-11-17
530,24170390,2023-11-12
531,24614039,2023-10-28
532,24502442,2023-11-17
533,23608695,2023-11-12
534,24772861,2023-11-11
535,24765577,2023-11-13
536,24799242,2023-11-17
537,24565617,2023-10-24
538,23833924,2023-11-15
539,24400161,2023-11-17
540,5158068,2023-11-13
541,24748988,2023-11-14
542,24786698,2023-11-13
543,23829539,2023-11-13
544,24785667,2023-11-11
545,24739218,2023-10-31
546,23169154,2023-10-31
547,24782225,2023-11-11
548,21553973,2023-10-28
549,24803989,2023-11-08
550,24733212,2023-11-16
551,24693490,2023-11-16
552,23892302,2023-10-28
553,24747606,2023-11-17
554,24793224,2023-11-09
555,24589621,2023-11-11
556,24794631,2023-11-10
557,24164995,2023-11-08
558,24137677,2023-11-13
559,24549305,2023-11-03
560,24667347,2023-11-02
561,24764127,2023-11-14
562,24705434,2023-10-31
563,24647876,2023-11-17
564,24479310,2023-11-02
565,24636036,2023-11-15
566,24710909,2023-11-15
567,24720003,2023-11-17
568,24739255,2023-10-31
569,24527828,2023-11-03
570,24548975,2023-11-03
571,24785684,2023-10-30
572,24413829,2023-11-11
573,19338407,2023-11-02
574,24405791,2023-11-03
575,24478167,2023-11-10
576,24687826,2023-11-09
577,24811541,2023-11-13
578,24487357,2023-11-17
579,24690875,2023-10-24
580,24739185,2023-10-31
581,24759287,2023-11-12
582,24794040,2023-11-03
583,24465450,2023-11-02
584,24524414,2023-11-12
585,23908833,2023-11-07
586,24730808,2023-11-07
587,16930539,2023-11-02
588,24785743,2023-11-17
589,23681347,2023-10-24
590,21759855,2023-10-28
591,23795066,2023-11-02
592,24414728,2023-11-12
593,23974753,2023-11-11
594,24128977,2023-11-13
595,24624683,2023-11-17
596,24811652,2023-11-13
597,23229683,2023-11-13
598,24792643,2023-11-02
599,24818166,2023-11-16
600,24806178,2023-11-09
601,22986303,2023-11-09
602,24505830,2023-11-02
603,24746373,2023-11-16
604,24106937,2023-11-17
605,24185037,2023-10-31
606,24111572,2023-11-17
